wavelength_nm,real,imag,abs_real,magnitude,real_normalized,imag_normalized
4.990000000000000000e+02,1.005272656965300326e+00,8.276223452687679963e-03,1.005272656965300326e+00,1.005306724694863041e+00,1.409710198756587880e-02,1.160588276981754530e-04
5.000000000000000000e+02,1.015117408683631872e+00,8.407802500702468013e-03,1.015117408683631872e+00,1.015152227281929775e+00,1.423515654227200042e-02,1.179039820913037605e-04
5.010000000000000000e+02,1.025074261579430379e+00,8.541747452410515876e-03,1.025074261579430379e+00,1.025109849334282508e+00,1.437478311002426262e-02,1.197823139367635881e-04
5.020000000000000000e+02,1.035144878413799097e+00,8.678108836717863747e-03,1.035144878413799097e+00,1.035181254118958893e+00,1.451600500799208292e-02,1.216945318096234287e-04
5.030000000000000000e+02,1.045330954197421391e+00,8.816938478242952043e-03,1.045330954197421391e+00,1.045368137168634304e+00,1.465884600558598795e-02,1.236413624549375279e-04
5.040000000000000000e+02,1.055634216975825046e+00,8.958289536735044786e-03,1.055634216975825046e+00,1.055672227067467883e+00,1.480333033546949763e-02,1.256235513405168608e-04
5.050000000000000000e+02,1.066056428637824016e+00,9.102216547891308490e-03,1.066056428637824016e+00,1.066095286260152708e+00,1.494948270489604436e-02,1.276418632293136390e-04
5.060000000000000000e+02,1.076599385747921467e+00,9.248775465629079442e-03,1.076599385747921467e+00,1.076639111884950761e+00,1.509732830738188397e-02,1.296970827722121954e-04
5.070000000000000000e+02,1.087264920403530954e+00,9.398023705873399802e-03,1.087264920403530954e+00,1.087305536631572700e+00,1.524689283472706151e-02,1.317900151220687281e-04
5.080000000000000000e+02,1.098054901117891280e+00,9.550020191921755608e-03,1.098054901117891280e+00,1.098096429624779269e+00,1.539820248939665660e-02,1.339214865698684696e-04
5.090000000000000000e+02,1.108971233729553640e+00,9.704825401451464342e-03,1.108971233729553640e+00,1.109013697334582549e+00,1.555128399727468032e-02,1.360923452039177622e-04
5.100000000000000000e+02,1.120015862339424295e+00,9.862501415237980365e-03,1.120015862339424295e+00,1.120059284514034026e+00,1.570616462080437134e-02,1.383034615930289844e-04
5.110000000000000000e+02,1.131190770276324642e+00,1.002311196765563739e-02,1.131190770276324642e+00,1.131235175165562490e+00,1.586287217252840137e-02,1.405557294947005120e-04
5.120000000000000000e+02,1.142497981092087667e+00,1.018672249903565356e-02,1.142497981092087667e+00,1.142543393536879393e+00,1.602143502904328221e-02,1.428500665893416553e-04
5.130000000000000000e+02,1.153939559587279007e+00,1.035340020996012612e-02,1.153939559587279007e+00,1.153986005147545679e+00,1.618188214538320013e-02,1.451874152416460716e-04
5.140000000000000000e+02,1.165517612868634645e+00,1.052321411757385465e-02,1.165517612868634645e+00,1.165565117847289001e+00,1.634424306984866640e-02,1.475687432902616906e-04
5.150000000000000000e+02,1.177234291439384073e+00,1.069623511400061115e-02,1.177234291439384073e+00,1.177282882907248585e+00,1.650854795929627278e-02,1.499950448669715912e-04
5.160000000000000000e+02,1.189091790323659747e+00,1.087253602695389086e-02,1.189091790323659747e+00,1.189141496145342591e+00,1.667482759490646754e-02,1.524673412466483592e-04
5.170000000000000000e+02,1.201092350226255379e+00,1.105219168263712505e-02,1.201092350226255379e+00,1.201143199087027824e+00,1.684311339844705296e-02,1.549866817293140287e-04
5.180000000000000000e+02,1.213238258729046448e+00,1.123527897103266532e-02,1.213238258729046448e+00,1.213290280162767187e+00,1.701343744905076810e-02,1.575541445556981573e-04
5.190000000000000000e+02,1.225531851525427651e+00,1.142187691368380491e-02,1.225531851525427651e+00,1.225585075943556923e+00,1.718583250052601458e-02,1.601708378577561091e-04
5.200000000000000000e+02,1.237975513694222762e+00,1.161206673407952882e-02,1.237975513694222762e+00,1.238029972415979563e+00,1.736033199922109790e-02,1.628379006456857838e-04
5.210000000000000000e+02,1.250571681014517766e+00,1.180593193075652608e-02,1.250571681014517766e+00,1.250627406298226774e+00,1.753697010246234658e-02,1.655565038330492002e-04
5.220000000000000000e+02,1.263322841323007761e+00,1.200355835323952194e-02,1.263322841323007761e+00,1.263379866398692375e+00,1.771578169758841401e-02,1.683278513016959283e-04
5.230000000000000000e+02,1.276231535915459236e+00,1.220503428094646403e-02,1.276231535915459236e+00,1.276289895018734022e+00,1.789680242160320359e-02,1.711531810082635597e-04
5.240000000000000000e+02,1.289300360993987482e+00,1.241045050519182236e-02,1.289300360993987482e+00,1.289360089401315523e+00,1.808006868147127646e-02,1.740337661341230535e-04
5.250000000000000000e+02,1.302531969161913272e+00,1.261990041442783740e-02,1.302531969161913272e+00,1.302593103227282390e+00,1.826561767508047898e-02,1.769709162807309307e-04
5.260000000000000000e+02,1.315929070968069325e+00,1.283348008287122505e-02,1.315929070968069325e+00,1.315991648161158878e+00,1.845348741289799116e-02,1.799659787124557268e-04
5.270000000000000000e+02,1.329494436502449695e+00,1.305128836266947201e-02,1.329494436502449695e+00,1.329558495448354138e+00,1.864371674034638604e-02,1.830203396490410897e-04
5.280000000000000000e+02,1.343230897045258665e+00,1.327342697976999913e-02,1.343230897045258665e+00,1.343296477565841585e+00,1.883634536092851017e-02,1.861354256099945193e-04
5.290000000000000000e+02,1.357141346771454149e+00,1.350000063366337162e-02,1.357141346771454149e+00,1.357208489928406259e+00,1.903141386013056796e-02,1.893127048133028199e-04
5.300000000000000000e+02,1.371228744512983599e+00,1.373111710118036892e-02,1.371228744512983599e+00,1.371297492652669980e+00,1.922896373013424642e-02,1.925536886309951203e-04
5.310000000000000000e+02,1.385496115581043242e+00,1.396688734453330888e-02,1.385496115581043242e+00,1.385566512381218862e+00,1.942903739537054850e-02,1.958599331042239840e-04
5.320000000000000000e+02,1.399946553650757819e+00,1.420742562380098058e-02,1.399946553650757819e+00,1.400018644169244597e+00,1.963167823894897135e-02,1.992330405206599829e-04
5.330000000000000000e+02,1.414583222710830812e+00,1.445284961406806401e-02,1.414583222710830812e+00,1.414657053436247924e+00,1.983693062999776144e-02,2.026746610571567324e-04
5.340000000000000000e+02,1.429409359080779263e+00,1.470328052744059727e-02,1.429409359080779263e+00,1.429484977985425509e+00,2.004483995195193227e-02,2.061864944907937651e-04
5.350000000000000000e+02,1.444428273498568727e+00,1.495884324017172744e-02,1.444428273498568727e+00,1.444505730093563978e+00,2.025545263182850289e-02,2.097702919815814832e-04
5.360000000000000000e+02,1.459643353281518285e+00,1.521966642514416962e-02,1.459643353281518285e+00,1.459722698674309038e+00,2.046881617052922347e-02,2.134278579302842978e-04
