model,gamma_meV,crossing_nm,direction,nearest_paper_node_nm,distance_from_nearest_paper_node_nm
demo21,1e-06,1347.4687220969024,positive_to_negative,1330.0,17.46872209690241
demo21,1e-06,1349.521786994007,negative_to_positive,1330.0,19.521786994007016
demo21,1e-06,1351.000652214952,positive_to_negative,1330.0,21.00065221495197
demo21,1e-06,1353.951418482313,negative_to_positive,1330.0,23.951418482313102
demo21,1e-06,1354.6333926179182,positive_to_negative,1330.0,24.63339261791816
demo21,1e-06,1356.4466663522635,negative_to_positive,1330.0,26.44666635226349
demo21,1e-06,1358.0947560868753,positive_to_negative,1330.0,28.09475608687535
demo21,1e-06,1360.9413936689166,negative_to_positive,1330.0,30.94139366891659
demo21,1e-06,1361.6571087467507,positive_to_negative,1330.0,31.657108746750737
demo21,1e-06,1363.4656036809217,negative_to_positive,1330.0,33.46560368092173
demo21,1e-06,1365.0611979839514,positive_to_negative,1330.0,35.06119798395139
demo21,1e-06,1367.997642052108,negative_to_positive,1330.0,37.99764205210795
demo21,1e-06,1368.600757895302,positive_to_negative,1330.0,38.60075789530197
demo21,1e-06,1370.6418158958252,negative_to_positive,1330.0,40.641815895825175
demo21,1e-06,1372.2204895583748,positive_to_negative,1330.0,42.220489558374766
demo21,1e-06,1373.203604421679,negative_to_positive,1330.0,43.203604421679074
demo21,1e-06,1375.401007087666,positive_to_negative,1330.0,45.4010070876659
demo21,1e-06,1377.9051904320067,negative_to_positive,1330.0,47.90519043200675
demo21,1e-06,1378.7896283499867,positive_to_negative,1330.0,48.78962834998674
demo21,1e-06,1380.5967808894734,negative_to_positive,1330.0,50.59678088947339
demo21,1e-06,1382.0182169799814,positive_to_negative,1330.0,52.01821697998139
demo21,1e-06,1383.2155051567015,negative_to_positive,1330.0,53.21550515670151
demo21,1e-06,1385.2670218377368,positive_to_negative,1330.0,55.26702183773682
demo21,1e-06,1386.0161586087454,negative_to_positive,1330.0,56.0161586087454
demo21,1e-06,1388.565550525816,positive_to_negative,1330.0,58.56555052581598
demo21,1e-06,1390.8451398119437,negative_to_positive,1330.0,60.84513981194368
demo21,1e-06,1391.824939765256,positive_to_negative,1330.0,61.82493976525598
demo21,1e-06,1393.690689786352,negative_to_positive,1330.0,63.690689786352095
demo21,1e-06,1394.9644690576017,positive_to_negative,1330.0,64.96446905760172
demo21,1e-06,1396.4440493642426,negative_to_positive,1330.0,66.44404936424257
demo21,1e-06,1397.9857444813013,positive_to_negative,1330.0,67.98574448130125
demo21,1e-06,1399.3314705687228,negative_to_positive,1330.0,69.3314705687228
demo21,1e-06,1400.9697042803164,positive_to_negative,1330.0,70.96970428031636
demo21,1e-06,1402.2408793070763,negative_to_positive,1330.0,72.24087930707628
demo21,1e-06,1404.2557153812859,positive_to_negative,1330.0,74.25571538128588
demo21,1e-06,1405.2036181864576,negative_to_positive,1330.0,75.20361818645756
demo21,1e-06,1407.5002578165474,positive_to_negative,1330.0,77.50025781654745
demo21,1e-06,1408.209313570193,negative_to_positive,1330.0,78.20931357019299
demo21,1e-06,1410.3589173539724,positive_to_negative,1330.0,80.3589173539724
demo21,1e-06,1411.205503777457,negative_to_positive,1330.0,81.2055037774569
demo21,1e-06,1413.2331032680988,positive_to_negative,1330.0,83.23310326809883
demo21,1e-06,1414.2724778938502,negative_to_positive,1330.0,84.27247789385024
demo21,1e-06,1416.212882414549,positive_to_negative,1330.0,86.21288241454909
demo21,1e-06,1417.3568694193496,negative_to_positive,1330.0,87.35686941934955
