wavelength_nm,simulated_abs_chi2_pm_per_V
1143.65,1279.8
1144.82,1183.9
1145.20,1181.3
1145.59,1176.2
1145.98,1171.0
1146.37,1165.8
1146.76,1160.6
1147.15,1152.8
1147.53,1142.5
1147.92,1132.1
1148.31,1126.9
1148.70,1121.8
1149.09,1116.6
1149.48,1111.4
1149.87,1106.2
1150.25,1103.6
1155.31,1124.4
1155.69,1124.4
1156.08,1124.4
1156.47,1126.9
1156.86,1126.9
1157.25,1126.9
1157.64,1132.1
1158.03,1132.1
1158.41,1132.1
1158.80,1137.3
1159.19,1137.3
1159.58,1137.3
1159.97,1142.5
1160.36,1142.5
1160.74,1142.5
1161.13,1147.7
1161.52,1147.7
1161.91,1147.7
1162.30,1152.8
1162.69,1152.8
1163.08,1155.4
1163.46,1155.4
1163.85,1155.4
1164.24,1155.4
1170.07,1191.7
1170.46,1191.7
1170.85,1191.7
1171.24,1189.1
1171.62,1189.1
1172.01,1189.1
1172.40,1189.1
1172.79,1189.1
1173.18,1189.1
1173.57,1183.9
1173.96,1183.9
1174.34,1183.9
1174.73,1183.9
1175.12,1183.9
1175.51,1183.9
1175.90,1178.8
1176.29,1178.8
1176.67,1178.8
1177.06,1178.8
1177.45,1178.8
1177.84,1178.8
1178.23,1176.2
1178.62,1176.2
1179.01,1176.2
1179.39,1176.2
1182.50,1116.6
1182.89,1116.6
1183.28,1114.0
1183.67,1111.4
1184.06,1108.8
1184.45,1106.2
1184.83,1101.0
1185.22,1095.9
1185.61,1090.7
1186.00,1085.5
1186.39,1080.3
1186.78,1075.1
1187.17,1069.9
1187.55,1062.2
1187.94,1059.6
1188.33,1057.0
1188.72,1054.4
1189.11,1051.8
1189.50,1049.2
1189.88,1046.6
1192.22,956.0
1192.60,956.0
1192.99,950.8
1193.38,948.2
1193.77,943.0
1194.16,940.4
1194.55,932.6
1194.94,927.5
1195.32,917.1
1195.71,911.9
1196.10,901.6
1196.49,899.0
1196.88,893.8
1197.27,891.2
1197.66,886.0
1198.04,883.4
1198.43,880.8
1201.15,795.3
1201.54,795.3
1201.93,792.7
1202.32,790.2
1202.71,787.6
1203.10,785.0
1203.48,779.8
1203.87,774.6
1204.26,769.4
1204.65,764.2
1205.04,759.1
1205.43,753.9
1205.81,746.1
1206.20,743.5
1206.59,740.9
1206.98,738.3
1207.37,735.8
1207.76,733.2
1208.15,730.6
1213.59,709.8
1213.97,709.8
1214.36,709.8
1214.75,712.4
1215.14,712.4
1215.53,712.4
1215.92,717.6
1216.31,717.6
1216.69,717.6
1217.08,722.8
1217.47,722.8
1217.86,722.8
1218.25,728.0
1218.64,728.0
1219.02,728.0
1219.41,733.2
1219.80,733.2
1220.19,738.3
1220.58,738.3
