wavelength_nm,re_chi2,im_chi2,abs_re_chi2,abs_chi2
971,12.8294,-0.0246471,12.8294,12.8294
972,12.8686,-0.0258002,12.8686,12.8686
973,12.9083,-0.0269701,12.9083,12.9083
974,12.9486,-0.0281571,12.9486,12.9486
975,12.9894,-0.0293619,12.9894,12.9894
976,13.0308,-0.030585,13.0308,13.0308
977,13.0728,-0.0318269,13.0728,13.0728
978,13.1153,-0.0330882,13.1153,13.1154
979,13.1584,-0.0343694,13.1584,13.1585
980,13.2022,-0.0356712,13.2022,13.2022
981,13.2465,-0.0369942,13.2465,13.2465
982,13.2914,-0.038339,13.2914,13.2915
983,13.337,-0.0397063,13.337,13.337
984,13.3832,-0.0410968,13.3832,13.3833
985,13.43,-0.0425112,13.43,13.4301
986,13.4775,-0.0439503,13.4775,13.4776
987,13.5257,-0.0454148,13.5257,13.5258
988,13.5745,-0.0469056,13.5745,13.5746
989,13.6241,-0.0484233,13.6241,13.6241
990,13.6743,-0.049969,13.6743,13.6744
991,13.7252,-0.0515436,13.7252,13.7253
992,13.7769,-0.0531478,13.7769,13.777
993,13.8293,-0.0547828,13.8293,13.8294
994,13.8825,-0.0564495,13.8825,13.8826
995,13.9364,-0.058149,13.9364,13.9365
996,13.9911,-0.0598823,13.9911,13.9913
997,14.0467,-0.0616506,14.0467,14.0468
998,14.103,-0.0634551,14.103,14.1031
999,14.1601,-0.0652969,14.1601,14.1603
1000,14.2181,-0.0671775,14.2181,14.2183
1001,14.277,-0.0690981,14.277,14.2772
1002,14.3368,-0.0710602,14.3368,14.3369
1003,14.3974,-0.0730651,14.3974,14.3976
