observable,normalized_RMSE,correlation,phase_deg,status
Re,0.43468542158253454,0.1766880646219009,57,DIAGNOSTIC ONLY
abs_Re,0.29541030278247343,0.050543223996553005,57,DIAGNOSTIC ONLY
Re,0.4362332332245868,0.17094349203024928,58,DIAGNOSTIC ONLY
abs_Re,0.29695910769263706,0.049803656271036084,58,DIAGNOSTIC ONLY
Re,0.43783677681556243,0.16514580081046087,59,DIAGNOSTIC ONLY
abs_Re,0.2985824572363026,0.04905170305943798,59,DIAGNOSTIC ONLY
Re,0.43949807535552543,0.15929708366738146,60,DIAGNOSTIC ONLY
abs_Re,0.3002630247628625,0.04838410506672385,60,DIAGNOSTIC ONLY
Re,0.4412193059458891,0.15339945060737747,61,DIAGNOSTIC ONLY
abs_Re,0.30197290263349963,0.04794804955810343,61,DIAGNOSTIC ONLY
Re,0.44298006592849587,0.14745502731550458,62,DIAGNOSTIC ONLY
abs_Re,0.30374421784519096,0.047540632242157196,62,DIAGNOSTIC ONLY
Re,0.4447080010372325,0.141465953528285,63,DIAGNOSTIC ONLY
abs_Re,0.30554064366125205,0.0471887467186527,63,DIAGNOSTIC ONLY
Re,0.4464987548815345,0.13543438140590014,64,DIAGNOSTIC ONLY
abs_Re,0.3074051422827848,0.04689110501498267,64,DIAGNOSTIC ONLY
Re,0.44835484902241957,0.12936247390756267,65,DIAGNOSTIC ONLY
abs_Re,0.30929883196471375,0.04684887689880238,65,DIAGNOSTIC ONLY
Re,0.4502411233211828,0.12325240317378358,66,DIAGNOSTIC ONLY
abs_Re,0.31126283398465765,0.046790366782459826,66,DIAGNOSTIC ONLY
Re,0.45211868559585533,0.11710634891917349,67,DIAGNOSTIC ONLY
abs_Re,0.3132794771322274,0.04671614106729065,67,DIAGNOSTIC ONLY
Re,0.45406546564506356,0.11092649683934644,68,DIAGNOSTIC ONLY
abs_Re,0.31535545502273127,0.04676894797913718,68,DIAGNOSTIC ONLY
Re,0.4560646965498721,0.10471503703538726,69,DIAGNOSTIC ONLY
abs_Re,0.31747432333288833,0.04699470001460288,69,DIAGNOSTIC ONLY
Re,0.4580458128718445,0.09847416245924293,70,DIAGNOSTIC ONLY
abs_Re,0.319614481148322,0.04730558902225054,70,DIAGNOSTIC ONLY
Re,0.4601008600880941,0.09220606738327772,71,DIAGNOSTIC ONLY
abs_Re,0.3218378073386903,0.04764825295568936,71,DIAGNOSTIC ONLY
Re,0.4621731206513457,0.08591294589709635,72,DIAGNOSTIC ONLY
abs_Re,0.32406952054066285,0.04824754775807488,72,DIAGNOSTIC ONLY
Re,0.4642747800857512,0.07959699043460246,73,DIAGNOSTIC ONLY
abs_Re,0.3263735468380181,0.048825378272061695,73,DIAGNOSTIC ONLY
Re,0.4664209910400881,0.07326039033410853,74,DIAGNOSTIC ONLY
