x[nm]                Psi^2_1[nm^-1]       Psi^2_2[nm^-1]       Psi^2_3[nm^-1]       Psi^2_4[nm^-1]       Psi^2_5[nm^-1]       Psi^2_6[nm^-1]      
11.15                0.17265390905369     0.21182777558157     0.0024525563508687   0.0091813710710434   0.095525937376305    0.028099656441309
11.2                 0.17730301095157     0.20486136730125     0.0023354909731515   0.0045441690801677   0.1097574872596      0.031040204369279
11.25                0.18187129349415     0.1973800570478      0.0022132252235036   0.0015029539605468   0.12360165189274     0.03371501032195
11.3                 0.18635150420018     0.18943076915347     0.0020866251492759   9.9823501276692e-05  0.13673290266931     0.03605625094999
11.35                0.19073653040886     0.18106336320347     0.0019565874992246   0.00035420042907232  0.14884247428063     0.038004560907352
11.4                 0.1950194105717      0.17233032130636     0.0018240333715532   0.0022625635506487   0.15964562495458     0.039510538140511
11.45                0.19919334530452     0.16328641891529     0.0016899016894799   0.0057984964945716   0.16888833181025     0.040535996544837
11.5                 0.20325170818193     0.15398838126504     0.0015551425505447   0.010913053377871    0.17635326389541     0.041054934225309
11.55                0.20718805625727     0.14449452757953     0.0014207104967645   0.017535436335704    0.18186489245819     0.04105419280999
11.6                 0.21099614029129     0.13486440528151     0.001287557753308    0.025573975535419    0.18529361829106     0.040533791098477
11.65                0.21466991467323     0.12515841649881     0.00115662748358     0.034917398109245    0.18655881909779     0.039506924585207
11.7                 0.21820354701868     0.11543743920961     0.0010288471084945   0.0454363684405      0.18563074522815     0.037999630869722
11.75                0.22159142742893     0.10576244540309     0.00090512173725548  0.056985278482041    0.18253121920459     0.036050129437855
11.8                 0.22482817739708     0.096194118650522    0.0007863277561798   0.069404263324579    0.17733312259229     0.033707852554591
11.85                0.22790865834683     0.086792473485205    0.00067330662097294  0.082521414114538    0.17015868227825     0.031032191841639
11.9                 0.23082797979029     0.077616478978921    0.00056685889642951  0.096155157689291    0.1611765964555      0.028090992321945
11.95                0.23358150709205     0.068723688875626    0.0004677385857771   0.11011676998986     0.15059806789128     0.02495883211669
12                   0.23616486882699     0.060169880602428    0.00037664778983068  0.12421298845935     0.1386718377522      0.021715131415424
12.05                0.23857396372018     0.052008705421964    0.00029423173378829  0.13824868726521     0.12567833675981     0.018442138668945
12.1                 0.24080496715803     0.044291351920543    0.00022107419689489  0.15202957831373     0.11192309120499     0.015222845067766
12.15                0.24285433726009     0.037066224942693    0.00015769337734758  0.16536490066822     0.097729538870775    0.012138880187409
12.2                 0.24471882050206     0.03037864198592     0.0001045382217322   0.17807006114274     0.083431423788241    0.0092684421592937
12.25                0.246395456881       0.02427054895995     6.1985244991387e-05  0.1899691895193      0.06936494865368     0.006684314850572
12.3                 0.24788158461454     0.018780257093267    3.033586344891e-05   0.20089757301792     0.055860869433188    0.0044520223300105
12.35                0.24917484436667     0.013942202637127    9.814259781644e-06   0.21070393632082     0.043236718040491    0.0026281674159494
12.4                 0.25027318299334     0.0097867308742409   5.6579506204981e-07  0.21925253558947     0.031789335962178    0.001258996434723
12.45                0.25117485680199     0.0063399057868509   2.6559791192849e-06  0.22642503748836     0.021787894393052    0.00037922658204531
12.5                 0.25187843431976     0.003623346578022    1.6070006512159e-05  0.23212215720523     0.013467565004544    1.116562121051e-05
12.55                0.25238279856612     0.0016540920715074   4.0712861400807e-05  0.23626503279349     0.0070239901703703   0.00016414623936082
12.6                 0.25268714882608     0.00044449384070682  7.640999057422e-05   0.23879631681277     0.0026086826752916   0.00083428940448814
12.65                0.25279100192144     2.1387370315521e-06  0.00012290853986639  0.23968097015645     0.00032546307720735  0.0020046027235758
12.7                 0.25269419297784     0.00032980130359607  0.00017987914520311  0.23890674707787     0.00022801849366137  0.0036454113078753
12.75                0.25239687568654     0.0014254263727073   0.00024691826559291  0.23648436470116     0.0023186402149068   0.0057151102201429
12.8                 0.25189952206039     0.0032821419563033   0.00032355104153674  0.23244735467019     0.006548169827017    0.008161219424509
12.85                0.2512029216845      0.0058883023484903   0.00040923465860952  0.22685159898944     0.012817155111891    0.010921714489292
12.9                 0.25030818046269     0.0092275611698293   0.00050336219238796  0.2197745564815      0.02097818854458     0.013926599300971
12.95                0.24921671886183     0.013278973895224    0.00060526690749018  0.2113141905693      0.030839373401024    0.017099680911014
13                   0.24793026965669     0.018017129222335    0.00071422698027527  0.20158761322481     0.042168835974921    0.020360501511898
13.05                0.24645087517909     0.023412308456545    0.0008294706117507   0.19072946385549     0.054700177804458    0.023626378554445
13.1                 0.24478088407551     0.029430671912788    0.00095018149447104  0.17889004556853     0.068138739706457    0.026814501276509
13.15                0.24292294757846     0.036034471165083    0.0010755045947043   0.16623324461152     0.082168530326842    0.02984403048268
13.2                 0.24088001529744     0.043182285812507    0.0012045522089089   0.15293426178953     0.096459656291019    0.032638148332225
13.25                0.23865533053624     0.050829283276553    0.0013364102516214   0.13917718726127     0.11067607924327     0.035126006160104
13.3                 0.23625242514395     0.058927500000375    0.0014701447302156   0.12515245228506     0.12448351737789     0.037244520941404
13.35                0.23367511390789     0.067426142286187    0.0016048083606708   0.11105419318863     0.13755730566715     0.038939974847386
13.4                 0.23092748849737     0.076271904883884    0.001739447277487    0.097077564051757    0.14959002996253     0.040169377334221
13.45                0.22801391096782     0.085409305332646    0.0018731077902186   0.08341603530075     0.16029875546259     0.040901555226803
13.5                 0.2249390068358      0.09478103195846     0.0020048431387687   0.070258715608777    0.16943167957895     0.041117943157078
13.55                0.22170765773555     0.10432830334485     0.0021337201995932   0.057787734173437    0.17677405276627     0.04081305431425
13.6                 0.21832499366913     0.11399123702212     0.0022588260953127   0.04617571960719     0.18215322809534     0.039994619570334
13.65                0.21479638486211     0.12370922506268     0.0023792746609144   0.03558341033891     0.1854427208345      0.038683391453376
13.7                 0.21112743323797     0.13342131422649     0.0024942127207424   0.026157429604403    0.18656518258348     0.036912617938818
13.75                0.20732396352463     0.14306658827255     0.0026028261318128   0.01802825582541     0.18549422002651     0.034727199401787
