wavelength_nm,photon_energy_eV,chi2_raw_real_pm_per_V,chi2_raw_imag_pm_per_V,chi2_raw_abs_pm_per_V,chi2_scaled_real_pm_per_V,chi2_scaled_imag_pm_per_V,chi2_scaled_abs_pm_per_V
1.650000000000000000e+03,7.514193842424241598e-01,1.060602538306728349e+01,7.285315214856155075e-01,1.063101747736620339e+01,4.187090991951451429e+02,2.876127164314702256e+01,4.196957475306853667e+02
1.651000000000000000e+03,7.509642543912780077e-01,1.053370910585659281e+01,7.191117249221026242e-01,1.055822661244427607e+01,4.158541670038291045e+02,2.838939298066457440e+01,4.168220793675152436e+02
1.652000000000000000e+03,7.505096755447940859e-01,1.046023782622365950e+01,7.083634447369411280e-01,1.048419544605115838e+01,4.129536371445536815e+02,2.796506788698613022e+01,4.138994460649100802e+02
1.653000000000000000e+03,7.500556467029642072e-01,1.038554603499215290e+01,6.959566622390419566e-01,1.040883865379112017e+01,4.100049234186987519e+02,2.747526774640763136e+01,4.109244791507435366e+02
1.654000000000000000e+03,7.496021668681982497e-01,1.030958633338238606e+01,6.814827047235484381e-01,1.033208541594107110e+01,4.070061545974460273e+02,2.690385880722324785e+01,4.078943827744126907e+02
1.655000000000000000e+03,7.491492350453171634e-01,1.023235251111395172e+01,6.644317385727733782e-01,1.025390205955385881e+01,4.039570855087519021e+02,2.623071364496518854e+01,4.048078275812478637e+02
1.656000000000000000e+03,7.486968502415458637e-01,1.015391863960616803e+01,6.441678136722548409e-01,1.017433122676438373e+01,4.008606403750412142e+02,2.543072595543918268e+01,4.016664970152586420e+02
1.657000000000000000e+03,7.482450114665056828e-01,1.007450363057419551e+01,6.199068464617396579e-01,1.009355774247825721e+01,3.977254614844231924e+02,2.447294136041684709e+01,3.984776876712519424e+02
1.658000000000000000e+03,7.477937177322073747e-01,9.994573428405356452e+00,5.907118197825509398e-01,1.001201470583304776e+01,3.945699435840011233e+02,2.332036790520547243e+01,3.952584976178449665e+02
1.659000000000000000e+03,7.473429680530438990e-01,9.914990541035953342e+00,5.555368147334149853e-01,9.930541706339919727e+00,3.914281371222712096e+02,2.193171436664030338e+01,3.920420725203755978e+02
