model,wavelength_nm,k_per_nm,F_real,F_imag,cumulative_real_pm_per_V,cumulative_imag_pm_per_V,cumulative_magnitude_pm_per_V
demo21,1330.0,0.22813540136903449,-6.877217358146611,-0.16236649553075455,-2.9294043199024404,-0.058453545331477695,2.9299874549944573
demo21,1330.0,0.23398502704516355,-6.958098871787644,-0.1675082103971689,-3.0981620358779023,-0.06247772263116505,3.0987919366069554
demo21,1330.0,0.23983465272129265,-7.0437008609998735,-0.1730200357034219,-3.27327446773852,-0.06673704250671658,3.273954729985043
demo21,1330.0,0.24568427839742174,-7.1343539379741845,-0.178935885759615,-3.4549696944874926,-0.07124800930300637,3.4557042507507263
demo21,1330.0,0.2515339040735508,-7.230421940733965,-0.185293862749703,-3.6434939652611313,-0.07602879019239256,3.644287125328135
demo21,1330.0,0.25738352974967993,-7.3323061170337365,-0.19213689067711942,-3.8391135064601065,-0.08109942523731407,3.8399700040831357
demo21,1330.0,0.263233155425809,-7.440449961851513,-0.199513465008059,-4.042116561994085,-0.08648207039201736,4.043041608646413
demo21,1330.0,0.2690827811019381,-7.55534483029375,-0.20747854283423084,-4.252815703448845,-0.09220127961025908,4.253815050453283
demo21,1330.0,0.2749324067780672,-7.677536474379949,-0.21609460454503676,-4.471550453958481,-0.09828433358193231,4.4726304645615365
demo21,1330.0,0.2807820324541963,-7.807632685558737,-0.22543292592048492,-4.698690278088276,-0.10476162432245813,4.699858011401192
demo21,1330.0,0.2866316581303254,-7.946312266868748,-0.23557510979529112,-4.934638000503665,-0.11166710698466717,4.935901309669505
demo21,1330.0,0.29248128380645444,-8.094335611977996,-0.24661493977080884,-5.179833729132798,-0.1190388329869787,5.1812013766327105
demo21,1330.0,0.29833090948258356,-8.252557236359781,-0.25866063592067967,-5.434759374594348,-0.1269195820323433,5.436241168311466
demo21,1330.0,0.30418053515871263,-8.421940693233402,-0.27183761551191477,-5.699943877738379,-0.1353576150705095,5.701550832302103
demo21,1330.0,0.31003016083484175,-8.603576419920934,-0.2862918924913952,-5.97596928239817,-0.14440757605962584,5.977713811499336
demo21,1330.0,0.3158797865109708,-8.798703207586193,-0.30219429075732795,-6.263477822423471,-0.15413157796251714,6.265373969310681
demo21,1330.0,0.3217294121870999,-9.00873418087393,-0.3197457021670651,-6.563180232841426,-0.16460051839304074,6.565243948202967
demo21,1330.0,0.327579037863229,-9.235288430440942,-0.3391836967702687,-6.875865547390492,-0.17589568358415186,6.878115026465833
demo21,1330.0,0.33342866353935807,-9.480229784307674,-0.3607908985729783,-7.202412712555877,-0.18811071712145855,7.204868806847385
demo21,1330.0,0.3392782892154872,-9.74571466694578,-0.3849056880471995,-7.54380443693966,-0.2013540539500342,7.546491160654242
demo21,1330.0,0.34512791489161626,-10.034251626550386,-0.4119360017879822,-7.901143811784931,-0.21575195309337863,7.904088969626476
demo21,1330.0,0.3509775405677453,-10.348775981928686,-0.44237729932199754,-8.27567439428978,-0.2314523081054963,8.278910366179288
demo21,1330.0,0.35682716624387445,-10.692744255941701,-0.4768362020185437,-8.668804655094204,-0.24862947814835468,8.672369385905288
demo21,1330.0,0.3626767919200035,-11.070254780463529,-0.5160619497800993,-9.082137976909335,-0.2674904732775794,9.086076237018544
demo21,1330.0,0.36852641759613264,-11.48620331965553,-0.5609887800855395,-9.517509784925503,-0.28828295814723665,9.52187479281842
demo21,1330.0,0.3743760432722617,-11.946486138752661,-0.612793793848095,-9.97703393957331,-0.3113057294451314,9.981889474873135
demo21,1330.0,0.38022566894839077,-12.458268237216892,-0.6729771370970223,-10.463161301662527,-0.3369226067154253,10.468584492065974
demo21,1330.0,0.3860752946245199,-13.030342424091526,-0.7434749127012783,-10.97875450224596,-0.36558110722978404,10.984839551242853
demo21,1330.0,0.39192492030064896,-13.673617115228694,-0.8268210411838974,-11.527184593708384,-0.3978379423220533,11.534047844784544
demo21,1330.0,0.3977745459767781,-14.401789834564532,-0.9263839238042486,-12.112457713259332,-0.43439442752238927,12.120244649930049
demo21,1330.0,0.40362417165290715,-15.232294004269232,-1.0467201955164316,-12.739383632117917,-0.47614661010758014,12.748278743445754
demo21,1330.0,0.4094737973290362,-16.187656897281656,-1.1941167616717694,-13.413803901868489,-0.5242577722253701,13.424044894498865
demo21,1330.0,0.41532342300516534,-17.29749162496988,-1.3774449327697624,-14.142906655001541,-0.580265881014952,14.15480544355015
demo21,1330.0,0.4211730486812944,-18.601494270131163,-1.6095500567286218,-14.935670512376097,-0.6462473197042566,14.949645121289194
demo21,1330.0,0.4270226743574235,-20.154084977851916,-1.909597053372584,-15.803506243147265,-0.7250745085342796,15.82013092929767
demo21,1330.0,0.4328723000335526,-22.03183442723011,-2.3072023719411465,-16.761211028854376,-0.8208367011658948,16.781298163246205
demo21,1330.0,0.43872192570968166,-24.34580234831654,-2.8500888291888655,-17.828435088004596,-0.9395583599946573,17.853175280577663
demo21,1330.0,0.4445715513858108,-27.262939166707014,-3.6191457813672168,-19.032023718688873,-1.0904923127527781,19.063239502060206
demo21,1330.0,0.45042117706193985,-31.04507032870169,-4.760302915139814,-20.409927996635265,-1.2886033132469321,20.45056623486858
demo21,1330.0,0.45627080273806897,-36.123825097016024,-6.558370503279752,-22.018079755907507,-1.559739463785708,22.07325583896482
demo21,1330.0,0.46212042841419804,-43.25220860125249,-9.628819103144242,-23.943177193968246,-1.952575042968817,24.022661872494186
demo21,1330.0,0.4679700540903271,-53.81518320588171,-15.494985033388119,-26.32759819782788,-2.5702146451448744,26.452758460855968
demo21,1330.0,0.4738196797664562,-70.30712483241948,-28.685886047026578,-29.41539918561763,-3.6704360782795047,29.643512110645226
demo21,1330.0,0.4796693054425853,-93.93542649085572,-65.92980314962969,-33.552267941640146,-6.057222776719959,34.0946422740352
demo21,1330.0,0.4855189311187144,-67.70096337324813,-172.1197441539029,-37.66576313825604,-12.13772107278313,39.57314727978925
demo21,1330.0,0.4913685567948435,90.25929715467677,-139.77031189826295,-37.05975656849428,-20.174157327037648,42.19504924481214
demo21,1330.0,0.4972181824709726,86.54971650983822,-50.98706916234637,-32.447085272830556,-25.13763053974437,41.045265401200986
demo21,1330.0,0.5030678081471016,63.41715641011659,-22.862004228510862,-28.491462821052416,-27.082937574985827,39.30965481117828
demo21,1330.0,0.5089174338232307,48.47680365293107,-12.392682797729478,-25.505167541906275,-28.022946896381487,37.89194009414306
demo21,1330.0,0.5147670594993599,39.00016949500069,-7.410462947624822,-23.143176829582277,-28.557219302003457,36.757603404303076
demo21,1330.0,0.520616685175489,32.6231257460816,-4.147002260555862,-21.186926769898523,-28.872543861982212,35.81214396004698
demo21,1330.0,0.526466310851618,26.445535483524964,-1.5984669384667516,-19.555484678860033,-29.030929685953687,35.00302643280887
demo21,1330.0,0.5323159365277471,22.096392301751287,-1.9727495236500392,-18.199683881479814,-29.130782766889762,34.348668067299464
demo21,1330.0,0.5381655622038762,19.63102195887337,-1.855628281052458,-17.021134874032548,-29.2389283013245,33.832439471755535
demo21,1330.0,0.5440151878800052,17.649579522055483,-1.5639098383253605,-15.956636085486293,-29.336551758970675,33.395321592573545
demo21,1330.0,0.5498648135561344,16.003933191398534,-1.2955387459026872,-14.985290550115716,-29.41906453426532,33.015758221531954
demo21,1330.0,0.5557144392322635,14.62929927095173,-1.073613048570166,-14.09164185517734,-29.488160821487668,32.6821969703462
demo21,1520.0,0.0,61.81437858800406,-18.101453879560893,0.0,0.0,0.0
